1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.062816	0.000000	12.098376	0.013878	1009.9
1	-0.038044	0.000000	12.098376	0.004218	1.8
2	-0.075561	0.431713	11.854671	0.010220	1.7
3	-0.097153	0.000000	12.098376	0.002535	1.8
4	-0.060670	0.000000	12.098376	0.013262	1.8
5	-0.048766	0.000000	12.098376	0.002557	1.8
6	-0.077367	0.856227	11.624417	0.013920	1.7
7	-0.043480	0.121973	12.028511	0.018256	2.0
8	-0.082569	0.000000	12.098376	0.009453	1.9
9	-0.051244	0.999988	11.548456	0.009234	1.7
10	-0.053389	1.998330	11.047145	0.004455	1.8
11	-0.044621	1.152301	11.469052	0.016996	1.8
12	-0.051196	2.148633	10.975417	0.007442	1.8
13	-0.078050	1.246947	11.420259	0.006534	1.8
14	-0.014663	2.208260	10.947219	0.015684	1.8
15	-0.052642	1.306355	11.389844	0.005341	1.8
16	-0.033945	0.426114	11.857768	0.019315	1.7
17	-0.035864	1.425520	11.329320	0.017105	1.8
18	-0.080151	0.523296	11.804228	0.016084	1.7
19	-0.047707	1.523296	11.280138	0.005436	1.8
20	-0.054933	2.521909	10.801245	0.005611	1.7
21	-0.058260	1.750499	11.167486	0.004738	1.9
22	-0.064690	1.022357	11.536726	0.007560	1.8
23	-0.039787	0.207629	11.979929	0.010163	1.8
24	-0.092719	1.185967	11.451648	0.007466	2.1
25	-0.023561	2.112650	10.992504	0.012733	2.0
26	-0.065936	1.834538	11.126386	0.007587	1.9
27	-0.079661	0.932835	11.583815	0.010928	2.0
28	-0.057732	0.032893	12.079455	0.004671	1.8
29	-0.051567	0.139792	12.018372	0.013858	1.7
30	-0.087837	0.000000	12.098376	0.007212	1.9
31	-0.057352	0.999067	11.548939	0.008960	1.9
32	-0.076554	0.326331	11.913249	0.008014	1.9
33	-0.092445	1.321135	11.382302	0.007012	1.8
34	-0.053201	0.460833	11.838585	0.003985	1.8
35	-0.064946	1.219824	11.434199	0.006767	1.8
36	-0.026080	1.601489	11.241113	0.010335	1.8
37	-0.091802	1.612285	11.235746	0.001888	1.8
38	-0.052683	1.704989	11.189871	0.001248	1.8
39	-0.030620	1.796649	11.144879	0.010316	1.8
40	-0.071262	1.413352	11.335471	0.006278	1.8
41	-0.091552	0.991475	11.552927	0.007634	1.9
42	-0.084532	1.623333	11.230259	0.002741	1.8
43	-0.063286	1.277605	11.404542	0.007188	1.8
44	-0.069309	1.930899	11.079631	0.012998	1.8
45	-0.105798	2.928892	10.617537	0.013814	1.8
46	-0.099471	2.026668	11.033550	0.008905	1.8
47	-0.043851	3.026563	10.574375	0.007379	1.7
48	-0.053697	2.133490	10.982601	0.008089	1.9
49	-0.055969	1.243842	11.421853	0.001087	1.8
50	-0.056247	1.581377	11.251125	0.008181	1.8
51	-0.051918	1.589074	11.247291	0.002200	1.8
52	-0.056916	1.337477	11.373974	0.009883	1.9
53	-0.024826	0.677294	11.720369	0.003257	1.8
54	-0.093643	0.000000	12.098376	0.003412	1.8
55	-0.079809	0.000000	12.098376	0.014357	1.8
56	-0.048031	0.000000	12.098376	0.014501	1.8
57	-0.060232	0.999995	11.548452	0.007419	1.8
58	-0.085625	0.098001	12.042178	0.012237	1.8
59	-0.013257	1.027613	11.533973	0.014911	1.9
60	-0.052251	2.027610	11.033099	0.010749	1.8
61	-0.085787	1.125398	11.482998	0.021809	1.8
62	-0.051679	2.125398	10.986444	0.004134	1.8
63	-0.077999	1.224059	11.432020	0.006880	1.8
64	-0.089455	1.930958	11.079602	0.013259	1.8
65	-0.042403	1.033294	11.530999	0.008492	1.8
66	-0.045847	2.012396	11.040393	0.008577	1.9
67	-0.090307	2.934002	10.615270	0.010088	1.8
68	-0.053781	2.034417	11.029838	0.007595	1.9
69	-0.030335	2.380248	10.866689	0.008114	1.8
70	-0.043835	2.016966	11.038201	0.001092	1.8
71	-0.033894	2.022803	11.035402	0.004918	1.8
72	-0.040107	2.033185	11.030428	0.003909	1.7
73	-0.043206	2.644474	10.745254	0.003804	1.8
74	-0.079626	3.174044	10.509863	0.016167	1.8
75	-0.075101	4.158814	10.098484	0.004394	1.8
76	-0.076891	5.151154	9.715284	0.003648	1.8
77	-0.035421	5.049275	9.753281	0.007969	1.8
78	-0.098169	5.459974	9.601895	0.015841	1.9
79	-0.092335	6.459912	9.252247	0.006954	1.8
80	-0.046077	7.457165	8.928011	0.009934	1.8
81	-0.067013	8.440633	8.629770	0.006312	1.8
82	-0.057076	7.547479	8.899766	0.010613	1.9
83	-0.108321	6.652040	9.187962	0.021931	1.8
84	-0.057142	5.749816	9.497856	0.009488	1.9
85	-0.117107	4.847592	9.829384	0.002454	1.8
86	-0.078893	4.798321	9.848156	0.007300	1.8
87	-0.041143	4.878892	9.817495	0.009149	1.8
88	-0.043967	5.316097	9.654391	0.012364	1.7
89	-0.088583	5.113619	9.729249	0.005108	2.0
90	-0.076183	4.328978	10.030641	0.004126	1.8
91	-0.051236	4.120014	10.114082	0.004128	1.8
92	-0.052165	4.716971	9.879309	0.016339	1.9
93	-0.035805	5.651531	9.532882	0.009420	1.8
94	-0.101499	4.749320	9.866897	0.010082	1.8
95	-0.048302	5.748416	9.498353	0.010237	1.8
96	-0.047290	6.747745	9.156272	0.008444	1.8
97	-0.120644	7.746124	8.838266	0.005690	1.8
98	-0.054540	7.155026	9.023820	0.000646	2.0
99	-0.033361	7.120320	9.034957	0.006361	1.9
100	-0.050997	7.262745	8.989427	0.002467	1.8
101	-0.075112	7.596459	8.884523	0.005831	1.8
102	-0.049182	7.918016	8.785730	0.005319	1.9
103	-0.046230	7.166040	9.020292	0.017464	1.8
104	-0.032900	6.274199	9.315247	0.007606	1.7
105	-0.056842	7.273173	8.986112	0.006243	1.7
106	-0.068130	7.263261	8.989263	0.005753	1.8
107	-0.047795	7.794749	8.823341	0.007548	1.8
108	-0.056634	7.031014	9.063743	0.008402	1.9
109	-0.029908	8.013668	8.756766	0.012132	1.8
110	-0.038527	7.114733	9.036753	0.018980	1.9
111	-0.037166	8.114733	8.726369	0.002576	1.8
112	-0.071711	9.075967	8.447472	0.009878	1.9
113	-0.041957	8.387007	8.645518	0.014566	1.8
114	0.015660	7.484793	8.919352	0.009244	1.9
115	-0.067866	6.590590	9.208425	0.001704	1.7
116	-0.048202	6.097585	9.375961	0.006753	1.8
117	-0.069664	5.691340	9.518664	0.005614	1.7
118	-0.093938	6.592216	9.207883	0.004359	1.8
119	-0.054802	5.992146	9.412586	0.003871	1.7
