x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
0,591.0,587.0,594.0,45,3.0
1,591.0,586.0,594.0,45,3.0
2,591.0,586.0,594.0,45,3.0
3,591.0,586.0,594.0,45,3.0
4,591.0,586.0,594.0,45,3.0
5,591.0,586.0,594.0,45,3.0
6,591.0,586.0,594.0,45,3.0
7,591.0,585.0,594.0,45,3.0
8,591.0,585.0,594.0,45,3.0
9,591.0,585.0,594.0,45,3.0
10,591.0,585.0,594.0,45,3.0
11,591.0,585.0,594.0,45,3.0
12,591.0,584.0,594.0,45,3.0
13,591.0,584.0,594.0,45,3.0
14,591.0,584.0,594.0,45,3.0
15,591.0,583.0,594.0,45,3.0
16,591.0,583.0,594.0,45,3.0
17,591.0,583.0,594.0,45,3.0
18,591.0,582.0,594.0,45,3.0
19,591.0,582.0,594.0,45,3.0
20,591.0,582.0,594.0,45,3.0
21,591.0,581.0,594.0,45,3.0
22,591.0,581.0,594.0,45,3.0
23,591.0,580.0,594.0,45,3.0
24,591.0,580.0,594.0,45,3.0
25,591.0,579.0,594.0,45,3.0
26,591.0,579.0,594.0,45,3.0
27,591.0,579.0,594.0,45,3.0
28,591.0,578.0,594.0,45,3.0
29,591.0,578.0,594.0,45,3.0
30,591.0,577.0,594.0,45,3.0
31,591.0,577.0,594.0,45,3.0
32,591.0,577.0,594.0,45,3.0
33,591.0,576.0,594.0,45,3.0
34,591.0,576.0,594.0,45,3.0
35,591.0,576.0,594.0,45,3.0
36,591.0,575.0,594.0,45,3.0
37,591.0,575.0,594.0,45,3.0
38,591.0,575.0,594.0,45,3.0
39,591.0,575.0,594.0,45,3.0
40,591.0,575.0,594.0,45,3.0
41,591.0,574.0,594.0,45,3.0
42,591.0,574.0,594.0,45,3.0
43,591.0,574.0,594.0,45,3.0
44,591.0,574.0,594.0,45,3.0
45,591.0,574.0,594.0,45,3.0
46,591.0,574.0,594.0,45,3.0
47,591.0,573.0,593.0,45,3.0
48,591.0,573.0,593.0,45,3.0
49,591.0,573.0,593.0,45,3.0
50,591.0,573.0,592.0,45,3.0
51,590.0,573.0,592.0,45,3.0
52,590.0,573.0,592.0,45,3.0
53,590.0,572.0,592.0,45,3.0
54,590.0,572.0,592.0,45,3.0
55,590.0,572.0,591.0,45,3.0
56,589.0,572.0,591.0,45,3.0
57,589.0,572.0,591.0,45,3.0
58,589.0,572.0,591.0,45,3.0
59,589.0,571.0,591.0,45,3.0
60,589.0,571.0,590.0,45,3.0
61,588.0,571.0,590.0,45,3.0
62,588.0,571.0,590.0,45,3.0
63,588.0,571.0,590.0,45,3.0
64,588.0,571.0,589.0,45,3.0
65,588.0,571.0,589.0,45,3.0
66,588.0,571.0,589.0,45,3.0
67,587.0,571.0,589.0,45,3.0
68,587.0,571.0,589.0,45,3.0
69,587.0,571.0,588.0,45,3.0
70,587.0,571.0,588.0,45,3.0
71,587.0,571.0,588.0,45,3.0
72,587.0,570.0,588.0,45,3.0
73,587.0,570.0,588.0,45,3.0
74,586.0,570.0,588.0,45,3.0
75,586.0,570.0,588.0,45,3.0
76,586.0,570.0,587.0,45,3.0
77,586.0,570.0,587.0,45,3.0
78,586.0,570.0,587.0,45,3.0
79,586.0,570.0,587.0,45,3.0
80,586.0,570.0,587.0,45,3.0
81,586.0,570.0,587.0,45,3.0
82,586.0,570.0,587.0,45,3.0
83,586.0,570.0,587.0,45,3.0
84,585.0,570.0,587.0,45,3.0
85,585.0,570.0,587.0,45,3.0
86,585.0,570.0,587.0,45,3.0
87,585.0,570.0,587.0,45,3.0
88,585.0,570.0,586.0,45,3.0
89,585.0,570.0,586.0,45,3.0
90,585.0,570.0,586.0,45,3.0
91,585.0,570.0,586.0,45,3.0
92,585.0,570.0,586.0,45,3.0
93,585.0,570.0,586.0,45,3.0
94,585.0,570.0,586.0,45,3.0
95,585.0,570.0,586.0,45,3.0
96,585.0,570.0,586.0,45,3.0
97,585.0,570.0,586.0,45,3.0
98,585.0,570.0,586.0,45,3.0
99,585.0,570.0,585.0,45,3.0
100,585.0,570.0,585.0,45,3.0
101,585.0,570.0,585.0,45,3.0
102,585.0,570.0,585.0,45,3.0
103,585.0,570.0,585.0,45,3.0
104,585.0,570.0,585.0,45,3.0
105,585.0,570.0,585.0,45,3.0
106,585.0,570.0,585.0,45,3.0
107,585.0,570.0,585.0,45,3.0
108,585.0,570.0,585.0,45,3.0
109,585.0,570.0,585.0,45,3.0
110,585.0,570.0,585.0,45,3.0
111,585.0,570.0,585.0,45,3.0
112,585.0,570.0,585.0,45,3.0
113,585.0,570.0,585.0,45,3.0
114,585.0,570.0,585.0,45,3.0
115,585.0,570.0,585.0,45,3.0
116,585.0,570.0,585.0,45,3.0
117,585.0,570.0,585.0,45,3.0
118,585.0,571.0,585.0,45,3.0
119,584.0,571.0,585.0,45,3.0
120,584.0,571.0,585.0,45,3.0
121,584.0,571.0,585.0,45,3.0
122,584.0,571.0,585.0,45,3.0
123,584.0,571.0,585.0,45,3.0
124,584.0,571.0,585.0,45,3.0
125,584.0,571.0,585.0,45,3.0
126,584.0,571.0,585.0,45,3.0
127,584.0,571.0,585.0,45,3.0
128,584.0,571.0,585.0,45,3.0
129,584.0,571.0,585.0,45,3.0
130,584.0,571.0,585.0,45,3.0
131,584.0,571.0,585.0,45,3.0
